party,electorate,first_name,last_name,twitter_url,username,gender
Informed Medical Options (IMOP),Capalaba,Marilyn,Winters,https://twitter.com/Marilyn60667246,Marilyn60667246,F
Informed Medical Options (IMOP),Hill,Tara,Garozzo,https://twitter.com/tara_party,tara_party,F
Informed Medical Options (IMOP),Nicklin,Allona,Lahn,https://twitter.com/AllonaLahn,AllonaLahn,F
Katter's Australia Party (KAP),Hill,Shane,Knuth,https://twitter.com/ShaneKnuthMP,ShaneKnuthMP,M
Katter's Australia Party (KAP),Hinchinbrook,Nick,Dametto,https://twitter.com/DamettoMP,DamettoMP,M
Katter's Australia Party (KAP),Mundingburra,Alannah,Tomlinson,https://twitter.com/AlannahTomlins1,AlannahTomlins1,F
Katter's Australia Party (KAP),Thuringowa,Julienne,Wood,https://twitter.com/Juliann61664563,Juliann61664563,F
Katter's Australia Party (KAP),Traeger,Robbie,Katter,https://twitter.com/robkatter3,RobKatter3,M
Katter's Australia Party (KAP),Warrego,Rick,Gurnett,https://twitter.com/rick_gurnett,Rick_Gurnett,M
Legalise Cannabis Qld (Party),Gaven,Suzette,Luyken,https://twitter.com/LuykenSuzette,LuykenSuzette,F
Legalise Cannabis Qld (Party),Inala,Nigel,Quinlan,https://twitter.com/NigelLcq,NigelLcq,M
Legalise Cannabis Qld (Party),Ipswich,Shelly,Morton,https://twitter.com/ShellyLCQ,ShellyLCQ,F
Legalise Cannabis Qld (Party),Mermaid Beach,Deb,Lynch,https://twitter.com/DebLegalise,DebLegalise,F
Legalise Cannabis Qld (Party),Rockhampton,Laura,Fritze-Shanks (née Barnard),https://twitter.com/BarnardLcq,BarnardLcq,F
Legalise Cannabis Qld (Party),Southern Downs,Debbie,Waldron,https://twitter.com/DebLcq,DebLcq,F
Liberal National,Broadwater,David,Crisafulli,https://twitter.com/DavidCrisafulli,DavidCrisafulli,M
Liberal National,Buderim,Brent,Mickelberg,https://twitter.com/BrentMickelberg,BrentMickelberg,M
Liberal National,Burdekin,Dale,Last,https://twitter.com/DaleLast1,DaleLast1,M
Liberal National,Burleigh,Michael,Hart,https://twitter.com/MichaelHartMP,MichaelHartMP,M
Liberal National,Burnett,Stephen,Bennett,https://twitter.com/Bennett4Burnett,Bennett4Burnett,M
Liberal National,Callide,Colin,Boyce,https://twitter.com/Colin4Callide,Colin4Callide,M
Liberal National,Chatsworth,Steve,Minnikin,https://twitter.com/SteveMinnikinMP,SteveMinnikinMP,M
Liberal National,Clayfield,Tim,Nicholls,https://twitter.com/TimNichollsMP,TimNichollsMP,M
Liberal National,Coomera,Michael,Crandon,https://twitter.com/MichaelCrandon,MichaelCrandon,M
Liberal National,Everton,Tim,Mander,https://twitter.com/TimManderMP,TimManderMP,M
Liberal National,Glass House,Andrew,Powell,https://twitter.com/andrewpowellmp,AndrewPowellMP,M
Liberal National,Gregory,Lachlan,Millar,https://twitter.com/Lachlan_Millar,Lachlan_Millar,M
Liberal National,Gympie,Tony,Perrett,https://twitter.com/MpPerrett,MpPerrett,M
Liberal National,Kawana,Jarrod,Bleijie,https://twitter.com/JarrodBleijieMP,JarrodBleijieMP,M
Liberal National,Maiwar,Lauren,Day,https://twitter.com/Lauren_A_Day,Lauren_A_Day,F
Liberal National,Maroochydore,Fiona,Simpson,https://twitter.com/FionaSimpsonMP,FionaSimpsonMP,F
Liberal National,Moggill,Christian,Rowan,https://twitter.com/DrCRowanMP,DrCRowanMP,M
Liberal National,Mudgeeraba,Ros,Bates,https://twitter.com/Ros_Bates_MP,Ros_Bates_MP,F
Liberal National,Nanango,Deb,Frecklington,https://twitter.com/DebFrecklington,DebFrecklington,F
Liberal National,Ninderry,Dan,Purdie,https://twitter.com/DanPurdieMP,DanPurdieMP,M
Liberal National,Oodgeroo,Mark,Robinson,https://twitter.com/MarkRobinsonMP,MarkRobinsonMP,M
Liberal National,Pumicestone,Fiona,Gaske,https://twitter.com/fionagaske,fionagaske,F
Liberal National,Redcliffe,Kerri-Anne,Dooley,https://twitter.com/kerriannedoole1,KerriAnneDoole1,F
Liberal National,Southport,Rob,Molhoek,https://twitter.com/Molhoek,Molhoek,M
Liberal National,Surfers Paradise,John-Paul,Langbroek,https://twitter.com/JPLangbroek,JPLangbroek,M
Liberal National,Theodore,Mark,Boothman,https://twitter.com/markboothman,MarkBoothman,M
Liberal National,Toowoomba North,Trevor,Watts,https://twitter.com/TrevorWattsLNP,TrevorWattsLNP,M
Liberal National,Toowoomba South,David,Janetzki,https://twitter.com/DavidJanetzkiMP,DavidJanetzkiMP,M
Liberal National,Warrego,Ann,Leahy,https://twitter.com/AnnLeahyLNP,AnnLeahyLNP,F
N/A (Independent),Buderim,Steve,Dickson,https://twitter.com/SteveDicksonQLD,SteveDicksonQLD,M
N/A (Independent),Cooper,Robert,Wiltshire,https://twitter.com/RobINDforCooper,RobINDforCooper,M
N/A (Independent),Miller,Edward,Carroll,https://twitter.com/edwardian_times,edwardian_times,M
N/A (Independent),Noosa,Sandy,Bolton,https://twitter.com/Sandy_Bolton_MP,Sandy_Bolton_MP,F
N/A (Independent),Redcliffe,Ian,Philp,https://twitter.com/ian_4redcliffe,ian_4redcliffe,M
N/A (Independent),Surfers Paradise,Arjay,Martin,https://twitter.com/VoteArjay,VoteArjay,M
North Queensland First,Whitsunday,Jason,Costigan,https://twitter.com/CostoMP,CostoMP,M
Pauline Hanson's One Nation Queensland Division,Bancroft,Nik,Aai Reddy,https://twitter.com/reddyaai,ReddyAai,M
Pauline Hanson's One Nation Queensland Division,Coomera,Tabita,Wilkinson,https://twitter.com/WilkinsonTabita,WilkinsonTabita,F
Pauline Hanson's One Nation Queensland Division,Gladstone,Kevin,Jorgensen,https://twitter.com/KevinJo72770167,KevinJo72770167,M
Pauline Hanson's One Nation Queensland Division,Ipswich West,Gary,Duffy,https://twitter.com/Mayor16Duffy,Mayor16Duffy,M
Pauline Hanson's One Nation Queensland Division,Jordan,Niel,Symes,https://twitter.com/SymesNeil,SymesNeil,M
Pauline Hanson's One Nation Queensland Division,Maryborough,Sharon,Lohse,https://twitter.com/sharon_lohse,sharon_lohse,F
Pauline Hanson's One Nation Queensland Division,Mirani,Stephen,Andrew,https://twitter.com/stephenandrewmp,StephenAndrewMP,M
Pauline Hanson's One Nation Queensland Division,Murrumba,Karen,Haddock,https://twitter.com/captainkhaddock,CaptainKHaddock,F
Pauline Hanson's One Nation Queensland Division,Nanango,Tony,Scrimshaw,https://twitter.com/TonyScrimshaw3,TonyScrimshaw3,M
Pauline Hanson's One Nation Queensland Division,Ninderry,Frank,Weijers,https://twitter.com/frankweijers6,frankweijers6,M
Queensland Greens,Bulimba,Rolf,Kuelsen,https://twitter.com/rolfkuelsen,rolfkuelsen,M
Queensland Greens,Ferny Grove,Joels,Colls,https://twitter.com/JColls_Greens,JColls_Greens,M
Queensland Greens,Gaven,Sally,Spain,https://twitter.com/sallyspain,SallySpain,F
Queensland Greens,Inala,Peter,Murphy,https://twitter.com/peterkmurphy,peterkmurphy,M
Queensland Greens,Jordan,Navdeep,Singh,https://twitter.com/by_navdeep,by_navdeep,M
Queensland Greens,Macalister,Kirsty,Petersen,https://twitter.com/petersenkirsty,PetersenKirsty,F
Queensland Greens,Maiwar,Micheal,Berkman,https://twitter.com/mcberkman,mcberkman,M
Queensland Greens,McConnel,Kirsten,Lovejoy,https://twitter.com/lovejoykirsten,lovejoykirsten,F
Queensland Greens,Nicklin,Sue,Etheridge,https://twitter.com/EtheridgeSue,EtheridgeSue,F
Queensland Greens,Noosa,Rhonda,Prescott,https://twitter.com/rhondaprescott,rhondaprescott,F
Queensland Greens,Nudgee,Jim,Davies,https://twitter.com/daviesfor,DaviesFor,M
Queensland Greens,Sandgate,Miree,Le Roy,https://twitter.com/mireelr,mireelr,F
Queensland Greens,South Brisbane,Amy,MacMahon,https://twitter.com/amymacsouthbris,amymacsouthbris,F
Queensland Labor,Algester,Leanne,Enoch,https://twitter.com/LeanneEnoch,LeeanneEnoch,F
Queensland Labor,Bancroft,Chris,Whiting,https://twitter.com/ChrisWhitingMP,ChrisWhitingMP,M
Queensland Labor,Barron River,Craig,Crawford,https://twitter.com/CraigCrawfordMP,CraigCrawfordMP,M
Queensland Labor,Buderim,Ken,MacKenzie,https://twitter.com/buderimkenny,buderimkenny,M
Queensland Labor,Bulimba,Di,Farmer,https://twitter.com/DiFarmerMP,DiFarmerMP,F
Queensland Labor,Burdekin,Mike,Brunker,https://twitter.com/BrunkerMichael,BrunkerMichael,M
Queensland Labor,Cairns,Michael,Healy,https://twitter.com/MichaelHealyMP,MichaelHealyMP,M
Queensland Labor,Capalaba,Don,Brown,https://twitter.com/donbrownmp,donbrownmp,M
Queensland Labor,Chatsworth,Lisa,O'Donnell,https://twitter.com/lod4Chatsworth,lod4Chatsworth,F
Queensland Labor,Clayfield,Philip,Anthony,https://twitter.com/philip__anthony,philip__anthony,M
Queensland Labor,Coomera,Chris,Johnson,https://twitter.com/chris4coomera,Chris4Coomera,M
Queensland Labor,Cooper,Jonty,Bush,https://twitter.com/JontyBush,JontyBush,F
Queensland Labor,Currumbin,Kaylee,Campradt,https://twitter.com/KayleeCampradt,KayleeCampradt,F
Queensland Labor,Everton,Danielle,Shankey,https://twitter.com/DanielleShankey,DanielleShankey,F
Queensland Labor,Ferny Grove,Mark,Furner,https://twitter.com/markfurnermp,MarkFurnerMP,M
Queensland Labor,Gaven,Meaghan,Scanlon,https://twitter.com/meaghan_scanlon,meaghan_scanlon,F
Queensland Labor,Gladstone,Glenn,Butcher,https://twitter.com/GlennButcherMP,GlennButcherMP,M
Queensland Labor,Glass House,Brent,Hampstead,https://twitter.com/Brent_Hampstead,Brent_Hampstead,M
Queensland Labor,Greenslopes,Joe,Kelly,https://twitter.com/joekellymp,JoeKellyMP,M
Queensland Labor,Inala,Annastacia,Palaszczuk,https://twitter.com/AnnastaciaMP,AnnastaciaMP,F
Queensland Labor,Ipswich,Jennifer,Howard,https://twitter.com/JenMP4Ipswich,JenMP4Ipswich,F
Queensland Labor,Ipswich West,Jim,Madden,https://twitter.com/jimmaddenmp,JimMaddenMP,M
Queensland Labor,Jordan,Charis,Mullen,https://twitter.com/charismullenmp,charismullenmp,F
Queensland Labor,Keppel,Brittany,Lauga,https://twitter.com/BrittanyLauga,BrittanyLauga,F
Queensland Labor,Kurwongbah,Shane,King,https://twitter.com/shanekingmp,shanekingmp,M
Queensland Labor,Logan,Linus,Power,https://twitter.com/LinusPower,LinusPower,M
Queensland Labor,Lytton,Joan,Pease,https://twitter.com/JoanPeaseMP,JoanPeaseMP,F
Queensland Labor,Macalister,Melissa,McMahon,https://twitter.com/McMahonMF_MP,McMahonMF_MP,F
Queensland Labor,Mackay,Julieanne,Gilbert,https://twitter.com/JGilbertMP,JGilbertMP,F
Queensland Labor,Maiwar,Palani,Thevar,https://twitter.com/palanithevar,palanithevar,M
Queensland Labor,Mansfield,Corrine,McMillan,https://twitter.com/mc_millan4,mc_millan4,F
Queensland Labor,Maryborough,Bruce,Saunders,https://twitter.com/Putmaryborough1,Putmaryborough1,M
Queensland Labor,McConnel,Grace,Grace,https://twitter.com/gracextwo,gracextwo,F
Queensland Labor,Mermaid Beach,Carl,Ungerer,https://twitter.com/drcarl4mermaid,drcarl4mermaid,M
Queensland Labor,Miller,Mark,Bailey,https://twitter.com/MarkBaileyMP,MarkBaileyMP,M
Queensland Labor,Morayfield,Mark,Ryan,https://twitter.com/MarkRyanQLD,MarkRyanQLD,M
Queensland Labor,Mount Ommaney,Jess,Pugh,https://twitter.com/JessPughMP,JessPughMP,F
Queensland Labor,Mulgrave,Curtis,Pitt,https://twitter.com/Curtis_Pitt_MP,Curtis_Pitt_MP,M
Queensland Labor,Murrumba,Steven,Miles,https://twitter.com/StevenJMiles,StevenJMiles,M
Queensland Labor,Noosa,Mark,Denham,https://twitter.com/markdenhamnoosa,markdenhamnoosa,M
Queensland Labor,Nudgee,Leanne,Linard,https://twitter.com/LeanneLinard,LeanneLinard,F
Queensland Labor,Pine Rivers,Nikki,Boyd,https://twitter.com/NikkiBoydMP,NikkiBoydMP,F
Queensland Labor,Pumicestone,Ali,King,https://twitter.com/AliKingLabor,AliKingLabor,F
Queensland Labor,Redcliffe,Yvette,D'Ath,https://twitter.com/YvetteDAth,YvetteDAth,F
Queensland Labor,Redlands,Kim,Richards,https://twitter.com/KimeRichards,KimeRichards,F
Queensland Labor,Sandgate,Stirling,Hinchliffe,https://twitter.com/StirlHinchliffe,StirlHinchliffe,M
Queensland Labor,South Brisbane,Jackie,Trad,https://twitter.com/jackietrad,jackietrad,F
Queensland Labor,Southern Downs,Joel,Richters,https://twitter.com/JoelRichtersALP,JoelRichtersALP,M
Queensland Labor,Southport,Susie,Gallagher,https://twitter.com/susiesouthport,SusieSouthport,F
Queensland Labor,Springwood,Mick,de Brenni,https://twitter.com/MickdeBrenni,MickdeBrenni,M
Queensland Labor,Stretton,Duncan,Pegg,https://twitter.com/DuncanPeggMP,DuncanPeggMP,M
Queensland Labor,Thuringowa,Aaron,Harper,https://twitter.com/AaronHarperMP,AaronHarperMP,M
Queensland Labor,Toohey,Peter,Russo,https://twitter.com/PeterRussoMP,PeterRussoMP,M
Queensland Labor,Toowoomba North,Megan,O'Hara Sullivan,https://twitter.com/crmegantrc,CrMeganTRC,F
Queensland Labor,Townsville,Scott,Stewart,https://twitter.com/scottstewartmp,ScottStewartMP,M
Queensland Labor,Waterford,Shannon,Fentiman,https://twitter.com/ShannonFentiman,ShannonFentiman,F
Queensland Labor,Woodridge,Cameron,Dick,https://twitter.com/camerondickqld,camerondickqld,M
United Australian Party,Maiwar,Jacob,Rush,https://twitter.com/Jrichardrush,JRichardrush,M
United Australian Party,Townsville,Greg,Dowling,https://twitter.com/GregDowlingTSV,GregDowlingTSV,M
